Well_API,Well_ID,Well_Status,H1000,H5280,Well_PTax,Sum_Home_PTax,Avg_Ptax_Home,H1000_NoWell,H1000_Effect,Logical,H5280_NoWell,H5280_Effect,Ptax_Effect,Net_Difference,PA_Candidate
05-013-06017,06017,SI,1,31,3407.093198,214206.01,6909.87129,6965.150261,55.72120209,1,7117.167429,213.5150229,269.236225,3137.856973,0
05-013-06020,06020,SI,2,13,2762.458728,79219.62,6093.816923,6142.567458,49.14053967,1,6166.942726,74.00331271,123.1438524,2639.314876,0
05-013-06021,06021,PA,0,444,2018.673096,2093169.22,4714.34509,0,0,0,6807.51431,3022.536354,3022.536354,-1003.863258,1
05-013-06023,06023,SI,0,95,351.177054,934894.76,9840.997474,0,0,0,10775.89223,1023.709762,1023.709762,-672.5327082,1
05-013-06026,06026,SI,0,65,3364.058589,692425.23,10652.69585,0,0,0,11345.12108,737.43287,737.43287,2626.625719,0
05-013-06029,06029,SI,1,352,2233.218621,1629282.3,4628.642898,4665.672041,37.32537633,1,6253.296555,2194.907091,2232.232467,0.986153928,0
05-013-06033,06033,SI,2,47,2563.122714,294831.68,6273.014468,6323.198584,50.58558867,1,6561.573134,301.8323641,352.4179528,2210.704761,0
05-013-06036,06036,PA,4,48,20.953749,316368.01,6591.000208,6643.72821,53.14982568,1,6900.777218,324.3365293,377.4863549,-356.5326059,1
05-013-06047,06047,SI,2,17,2222.748266,106559.23,6268.19,6318.33552,50.54668416,1,6368.48104,101.8956966,152.4423808,2070.305885,0
05-013-06048,06048,TA,0,40,2592.143747,422829.73,10570.74325,0,0,0,10993.57298,439.7429192,439.7429192,2152.400828,0
05-013-06049,06049,SI,5,244,2035.352196,1307526.42,5358.714836,5401.584555,43.21267644,1,6660.882541,1618.594458,1661.807134,373.545062,0
05-013-06054,06054,TA,0,55,2276.22305,314712.72,5722.049455,0,0,0,6036.762175,332.0219196,332.0219196,1944.20113,0
05-013-06057,06057,SI,2,50,2187.552603,367969.77,7359.3954,7418.270563,59.34616451,1,7720.005775,378.280283,437.6264475,1749.926156,0
05-013-06058,06058,SI,1,593,2382.970062,2855020.18,4814.53656,4853.052852,38.82442282,1,7664.742203,4537.527384,4576.351807,-2193.381745,1
05-013-06061,06061,SI,22,1071,2816.872113,4391311.55,4100.197526,4132.999106,33.06399285,1,8487.408878,9081.5275,9114.591492,-6297.719379,1
05-013-06062,06062,PA,0,90,124.782864,847056.29,9411.736556,0,0,0,10258.79285,923.2913561,923.2913561,-798.5084921,1
05-013-06063,06063,PR,0,1554,2757.344235,7275006.76,4681.471532,0,0,0,11956.47829,18580.36727,18580.36727,-15823.02303,1
05-013-06068,06068,PA,0,122,2230.305768,779753.28,6391.420328,0,0,0,7171.173608,874.8831802,874.8831802,1355.422588,0
05-013-06069,06069,SI,3,95,2382.82947,607582.41,6395.604316,6446.76915,51.5741532,1,6996.791121,657.6983654,709.2725186,1673.556951,0
05-013-06072,06072,SI,6,40,467.647392,377345.48,9433.637,9509.106096,76.07284877,1,9801.548843,382.2604049,458.3332536,9.314138355,0
05-013-06073,06073,PR,3,638,3449.186982,3890431.29,6097.854687,6146.637524,49.17310019,1,9982.188122,6358.653834,6407.826934,-2958.639952,1
05-013-06076,06076,SI,3,161,726.23328,1071529,6655.459627,6708.703304,53.66962643,1,7720.333168,1235.253307,1288.922933,-562.6896533,1
05-013-06077,06077,PA,0,36,0.751704,217638.11,6045.503056,0,0,0,6263.141166,225.473082,225.473082,-224.721378,1
05-013-06080,06080,SI,0,25,2896.04441,187312.93,7492.5172,0,0,0,7679.83013,191.9957533,191.9957533,2704.048657,0
05-013-06081,06081,SI,0,2485,2368.213584,7030467.16,2829.161835,0,0,0,9859.628995,24501.17805,24501.17805,-22132.96447,1
05-013-06084,06084,SI,0,1206,315.042032,5640995.1,4677.44204,0,0,0,10318.43714,12444.03519,12444.03519,-12128.99316,1
05-013-06085,06085,SI,0,547,726.23328,2187335.77,3998.785686,0,0,0,6186.121456,3383.808436,3383.808436,-2657.575156,1
05-013-06086,06086,SI,0,243,726.23328,1209534.91,4977.509918,0,0,0,6187.044828,1503.451893,1503.451893,-777.2186131,1
05-013-06087,06087,SI,0,125,2533.148517,696626.8,5573.0144,0,0,0,6269.6412,783.70515,783.70515,1749.443367,0
05-013-06088,06088,SI,0,8,2741.291626,31944.44,3993.055,0,0,0,4024.99944,32.19999552,32.19999552,2709.09163,0
05-013-06090,06090,SI,0,74,2821.554435,859330.69,11612.57689,0,0,0,12471.90758,922.9211611,922.9211611,1898.633274,0
05-013-06091,06091,PA,5,969,1884.02184,4770120.37,4922.72484,4962.106639,39.69685311,1,9687.922485,9377.908966,9417.605819,-7533.583979,1
05-013-06092,06092,SI,0,8,2380.640668,49239.95,6154.99375,0,0,0,6204.2337,49.6338696,49.6338696,2331.006798,0
05-013-06094,06094,SI,0,419,2347.06716,2687871.08,6414.966778,0,0,0,9102.837858,3814.089063,3814.089063,-1467.021903,1
05-013-06095,06095,PA,1,54,2230.951784,295229.94,5467.221111,5510.95888,44.08767104,1,5756.98383,305.120143,349.207814,1881.74397,0
05-013-06098,06098,PA,3,21,1.628544,144029.95,6858.569048,6913.4376,55.3075008,1,6995.740429,139.9148086,195.2223094,-193.5937654,1
05-013-06100,06100,SI,7,86,3091.100811,810519.58,9424.646279,9500.043449,76.00034759,1,10225.74121,869.1880031,945.1883507,2145.91246,0
05-013-06101,06101,SI,1,6,2764.484288,30998.16,5166.36,5207.69088,41.66152704,1,5192.1918,25.960959,67.62248604,2696.861802,0
05-013-06102,06102,PR,0,43,2369.840823,345173.49,8027.290465,0,0,0,8372.463955,360.0159501,360.0159501,2009.824873,0
05-013-06103,06103,PR,0,19,2239.054024,99714.69,5248.141579,0,0,0,5347.856269,101.6092691,101.6092691,2137.444755,0
05-013-06104,06104,SI,2,60,2227.017063,347336.36,5788.939333,5835.250848,46.68200678,1,6130.486754,361.6987185,408.3807253,1818.636338,0
05-013-06105,06105,SI,0,318,2471.487034,1360368.75,4277.889151,0,0,0,5638.257901,1792.966013,1792.966013,678.5210215,0
05-013-06107,06107,PR,0,1966,2253.94189,8522122.11,4334.751836,0,0,0,12856.87395,25276.61418,25276.61418,-23022.67229,1
05-013-06108,06108,PR,0,967,2575.926881,4618322.21,4775.927828,0,0,0,9394.250038,9084.239787,9084.239787,-6508.312906,1
05-013-06109,06109,PA,0,15,206.404564,79442.25,5296.15,0,0,0,5375.59225,80.63388375,80.63388375,125.7706803,0
05-013-06110,06110,SI,0,48,2256.068728,276202.33,5754.215208,0,0,0,6030.417538,289.4600418,289.4600418,1966.608686,0
05-013-06111,06111,SI,1,48,2222.849544,262016.29,5458.672708,5502.34209,44.01873672,1,5715.230326,268.6158253,312.634562,1910.214982,0
05-013-06112,06112,PA,0,60,2821.554435,748578.95,12476.31583,0,0,0,13224.89478,793.493687,793.493687,2028.060748,0
05-013-06113,06113,PA,0,1718,1620.318636,3908588.42,2275.08057,0,0,0,6183.66899,10623.54333,10623.54333,-9003.22469,1
05-013-06115,06115,SI,1,54,1961.707272,421832.8,7811.718519,7874.212267,62.99369813,1,8225.7396,435.9641988,498.9578969,1462.749375,0
05-013-06116,06116,PA,0,8,1737.221534,34056.01,4257.00125,0,0,0,4291.05726,34.32845808,34.32845808,1702.893076,0
05-013-06122,06122,SI,1,21,2285.945738,140546.86,6692.707619,6746.24928,53.96999424,1,6826.561771,136.5312354,190.5012297,2095.444508,0
05-013-06123,06123,SI,1,44,2512.099512,247261,5619.568182,5664.524727,45.31619782,1,5861.209614,252.0320134,297.3482112,2214.751301,0
05-013-06125,06125,PR,1,15,2513.112292,120714.97,8047.664667,8112.045984,64.89636787,1,8160.331972,114.2446476,179.1410155,2333.971277,0
05-013-06127,06127,SI,216,2378,2984.294016,10543297.39,4433.68267,4469.152132,35.75321705,1,14972.54638,35589.74274,35625.49596,-32641.20194,1
05-013-06128,06128,PR,4,412,3298.95032,888600.21,2156.796626,2174.050999,17.39240799,1,3043.24004,1250.771656,1268.164064,2030.786256,0
05-013-06134,06134,PR,85,2741,4137.64428,14406517.38,5255.934834,5297.982313,42.3838585,1,19657.19628,53860.7178,53903.10166,-49765.45738,1
05-013-06135,06135,PR,162,2206,2947.013461,9562216.37,4334.64024,4369.317362,34.9545389,1,13892.52197,30633.01094,30667.96548,-27720.95202,1
05-013-06137,06137,SI,2,28,4055.67751,197661.74,7059.347857,7115.82264,56.92658112,1,7249.950249,195.7486567,252.6752379,3803.002272,0
05-013-06145,06145,SI,0,192,2368.995156,1007917.72,5249.571458,0,0,0,6257.489178,1201.437922,1201.437922,1167.557234,0
05-013-06150,06150,SI,17,2022,406.287936,7563776.87,3740.740292,3770.666214,30.16532971,1,11300.77642,22838.86915,22869.03448,-22462.74654,1
05-013-06151,06151,PA,136,3347,2515.123232,10587080.23,3163.155133,3188.460374,25.50768299,1,13747.07221,45997.70361,46023.21129,-43508.08806,1
05-013-06152,06152,SI,0,6,2070.388344,24778.88,4129.813333,0,0,0,4154.592213,24.92755328,24.92755328,2045.460791,0
05-013-06156,06156,SI,2,189,2379.52661,1453850.52,7692.330794,7753.86944,62.03095552,1,9138.488983,1718.035929,1780.066884,599.4597257,0
05-013-06157,06157,SI,0,81,2683.636944,603901.1,7455.569136,0,0,0,8059.470236,652.8170891,652.8170891,2030.819855,0
05-013-06164,06164,SI,0,57,5677.340846,292338.97,5128.75386,0,0,0,5421.09283,309.0022913,309.0022913,5368.338555,0
05-013-06165,06165,PA,14,2327,1171.910019,9213756.18,3959.499862,3991.175861,31.92940689,1,13169.29654,30631.78376,30663.71317,-29491.80315,1
05-013-06166,06166,PA,227,3477,3054.386844,10449212.03,3005.237857,3029.27976,24.23423808,1,13451.44465,46757.2216,46781.45584,-43727.069,1
05-013-06169,06169,SI,95,2188,2947.124514,9346910.45,4271.896915,4306.07209,34.44857672,1,13614.53547,29774.98907,29809.43765,-26862.31313,1
05-013-06176,06176,SI,2,509,0,2923397.64,5743.413831,5789.361142,46.31488913,1,8661.068057,4399.822573,4446.137462,-4446.137462,1
05-013-06178,06178,SI,0,43,2667.459964,239821.24,5577.23814,0,0,0,5817.05938,250.1335533,250.1335533,2417.326411,0
05-013-06180,06180,SI,6,573,2087.896112,1080196.41,1885.159529,1900.240805,15.20192644,1,2963.470779,1695.105286,1710.307212,377.5888998,0
05-013-06181,06181,SI,2,112,3905.55216,738782.86,6596.275536,6649.04574,53.19236592,1,7328.46212,813.4592953,866.6516613,3038.900499,0
05-013-06182,06182,SI,68,1845,2597.58576,7315433.46,3965.004585,3996.724622,31.97379698,1,11276.47304,20793.81629,20825.79008,-18228.20432,1
05-013-06183,06183,SI,0,14,2070.388344,56593.81,4042.415,0,0,0,4099.00881,57.38612334,57.38612334,2013.002221,0
05-013-06187,06187,PA,4,988,3140.421408,4535365.16,4590.450567,4627.174171,37.01739337,1,9121.225276,9002.649348,9039.666741,-5899.245333,1
05-013-06189,06189,PR,0,160,2598.199473,1431045.46,8944.034125,0,0,0,10375.07959,1660.012734,1660.012734,938.1867394,0
05-013-06190,06190,SI,1,26,2070.388344,107365.73,4129.451154,4162.486763,33.2998941,1,4232.687433,105.8171858,139.1170799,1931.271264,0
05-013-06199,06199,PA,8,647,1737.221534,3096971.46,4786.663771,4824.957081,38.59965665,1,7878.848567,5089.736175,5128.335831,-3391.114297,1
05-013-06204,06204,SI,4,316,2129.673784,1550867.84,4907.80962,4947.072097,39.57657678,1,6453.769651,2032.93744,2072.514017,57.15976727,0
05-013-06208,06208,SI,0,24,2060.095798,154504.02,6437.6675,0,0,0,6592.17152,158.2121165,158.2121165,1901.883682,0
05-013-06210,06210,SI,2,100,2463.215387,1020561.5,10205.615,10287.25992,82.29807936,1,11215.97089,1110.381118,1192.679197,1270.53619,0
05-013-06224,06224,PA,4,44,47.803216,243400.75,5531.835227,5576.089909,44.60871927,1,5769.704142,248.0972781,292.7059974,-244.9027814,1
05-013-06232,06232,PA,0,1456,3553.006564,4121311.86,2830.571332,0,0,0,6951.883192,10121.94193,10121.94193,-6568.935364,1
05-013-06236,06236,PA,3,502,2.930992,2951253.35,5878.990737,5926.022663,47.4081813,1,8824.365096,4421.006913,4468.415095,-4465.484103,1
05-013-06238,06238,PR,0,7,2688.221954,41824.87,5974.981429,0,0,0,6016.806299,42.11764409,42.11764409,2646.10431,0
05-013-06240,06240,SI,0,22,745.40608,169775.14,7717.051818,0,0,0,7886.826958,173.5101931,173.5101931,571.8958869,0
05-013-06243,06243,PR,0,2401,8795.124726,12056765.53,5021.559988,0,0,0,17078.32552,41005.05957,41005.05957,-32209.93484,1
05-013-06244,06244,SI,0,9,2762.458728,59239.13,6582.125556,0,0,0,6641.364686,59.77228217,59.77228217,2702.686446,0
05-013-06245,06245,PR,0,1928,3366.976179,10055908.27,5215.720057,0,0,0,15271.62833,29443.69941,29443.69941,-26076.72324,1
05-013-06246,06246,SI,161,2018,668.326896,11169352.28,5534.862379,5579.141278,44.63313022,1,16698.6798,33681.23715,33725.87028,-33057.54338,1
05-013-06247,06247,PA,0,267,7.953584,1708288.93,6398.08588,0,0,0,8106.37481,2164.402074,2164.402074,-2156.44849,1
05-013-06248,06248,SI,0,35,552.268934,245038.67,7001.104857,0,0,0,7246.143527,253.6150235,253.6150235,298.6539106,0
05-013-06249,06249,SI,0,22,2763.268952,166118.96,7550.861818,0,0,0,7716.980778,169.7735771,169.7735771,2593.495375,0
05-013-06250,06250,SI,0,15,2667.459964,105138.06,7009.204,0,0,0,7114.34206,106.7151309,106.7151309,2560.744833,0
05-013-06252,06252,PA,264,896,9191.933008,4695362.66,5240.360112,5282.282992,42.25826394,1,9930.482411,8887.781758,8930.040022,261.8929858,0
05-013-06253,06253,SI,0,45,2365.072896,131907.64,2931.280889,0,0,0,3063.188529,137.8434838,137.8434838,2227.229412,0
05-013-06254,06254,PA,3,702,903.155196,2356671.72,3357.082222,3383.93888,27.07151104,1,5710.39686,4002.988199,4030.05971,-3126.904514,1
05-013-06256,06256,SI,0,824,2086.391008,1876586.08,2277.410291,0,0,0,4153.996371,3422.89301,3422.89301,-1336.502002,1
05-013-06259,06259,SI,3,864,369.713851,4769924.81,5520.746308,5564.912278,44.51929823,1,10285.15037,8876.084771,8920.604069,-8550.890218,1
05-013-06260,06260,PA,0,29,3371.069856,81658.86,2815.822759,0,0,0,2897.481619,84.02696694,84.02696694,3287.042889,0
05-013-06261,06261,PA,0,62,7084.667018,361594.42,5832.168065,0,0,0,6193.762485,384.013274,384.013274,6700.653744,0
05-013-06262,06262,PA,0,181,2700.711088,614930.11,3397.403923,0,0,0,4012.334033,726.2324599,726.2324599,1974.478628,0
05-013-06263,06263,SI,0,94,565.094266,413489.88,4398.828511,0,0,0,4812.318391,452.3579287,452.3579287,112.7363373,0
05-013-06270,06270,PA,0,26,5.861984,168856.12,6494.466154,0,0,0,6663.322274,173.2463791,173.2463791,-167.3843951,1
05-013-06271,06271,PA,2,625,0.313554,2196127.63,3513.804208,3541.914642,28.33531713,1,5706.418034,3560.804853,3589.14017,-3588.826616,1
05-013-06273,06273,PA,0,1702,305.099532,7297128.96,4287.384818,0,0,0,11584.51378,19716.84245,19716.84245,-19411.74292,1
05-013-06274,06274,SI,0,1653,305.252964,5783204.77,3498.611476,0,0,0,9281.816246,15342.84225,15342.84225,-15037.58929,1
05-013-06275,06275,SI,8,2277,2457.136764,7402217.37,3250.864018,3276.870931,26.21496744,1,10649.83052,24239.01427,24265.22924,-21808.09248,1
05-013-06277,06277,SI,0,190,2204.81201,837951.93,4410.273316,0,0,0,5248.225246,997.1627967,997.1627967,1207.649213,0
05-013-06278,06278,SI,0,1017,2431.243584,3442816.3,3385.266765,0,0,0,6828.083065,6944.160477,6944.160477,-4512.916893,1
05-013-06279,06279,PA,0,336,0.79216,769219.84,2289.344762,0,0,0,3058.564602,1027.677706,1027.677706,-1026.885546,1
05-013-06280,06280,PA,3,1048,2.534912,2407820.85,2297.538979,2315.919291,18.52735433,1,4703.06229,4924.106218,4942.633572,-4940.09866,1
05-013-06281,06281,PA,6,1219,0.871376,2568902.09,2107.384815,2124.243894,16.99395115,1,4674.179521,5693.150656,5710.144607,-5709.273231,1
05-013-06282,06282,SI,0,8,2444.631156,36647.78,4580.9725,0,0,0,4617.62028,36.94096224,36.94096224,2407.690194,0
05-013-06284,06284,PA,158,1873,678.91392,11077793.92,5914.465521,5961.781245,47.69424996,1,16986.34498,31798.43779,31846.13204,-31167.21812,1
05-013-06285,06285,SI,212,1024,3047.829792,3885698.35,3794.627295,3824.984313,30.59987451,1,7676.531018,7853.091231,7883.691106,-4835.861314,1
05-013-06286,06286,SI,0,11,2318.724716,71731.69,6521.062727,0,0,0,6592.794417,72.52073859,72.52073859,2246.203977,0
05-013-06290,06290,SI,93,2236,2094.193368,5622291.9,2514.441816,2534.55735,20.2764588,1,8134.219274,18179.98008,18200.25654,-16106.06317,1
05-013-06291,06291,SI,83,2273,418.639212,5492289.91,2416.317602,2435.648143,19.48518514,1,7906.191195,17962.86639,17982.35158,-17563.71237,1
05-013-06292,06292,PA,0,1113,1861.191338,3970023.41,3566.957242,0,0,0,7536.980652,8388.659465,8388.659465,-6527.468127,1
05-013-06293,06293,SI,0,1600,418.639212,3800478.91,2375.299319,0,0,0,6175.778229,9881.245166,9881.245166,-9462.605954,1
05-013-06294,06294,SI,1,8,2201.058024,36394.51,4549.31375,4585.70826,36.68566608,1,4581.158946,32.06811262,68.7537787,2132.304245,0
05-013-06295,06295,PA,1,920,2030.683772,6404493.32,6961.405783,7017.097029,56.13677623,1,13358.9377,12276.86374,12333.00052,-10302.31675,1
05-013-06302,06302,PA,0,80,76.955697,669928.16,8374.102,0,0,0,9044.03016,723.5224128,723.5224128,-646.5667158,1
05-013-06303,06303,SI,0,77,373.690851,725651.84,9424.04987,0,0,0,10149.70171,781.5270317,781.5270317,-407.8361807,1
05-013-06305,06305,SI,2,44,392.915886,545682.6,12401.87727,12501.09229,100.0087383,1,12935.158,556.2117938,656.2205321,-263.3046461,1
05-013-06306,06306,SI,0,53,2119.200021,565940.53,10678.12321,0,0,0,11244.06374,595.9353781,595.9353781,1523.264643,0
05-013-06320,06320,SI,0,97,351.177054,901914.79,9298.090619,0,0,0,10200.00541,989.4005246,989.4005246,-638.2234706,1
05-013-06321,06321,SI,2,100,351.177054,992088.5,9920.885,10000.25208,80.00201664,1,10903.05262,1079.402209,1159.404226,-808.2271715,1
05-013-06322,06322,PA,2,90,351.177054,900072.48,10000.80533,10080.81178,80.64649421,1,10890.87701,969.2880537,1049.934548,-698.7574939,1
05-013-06335,06335,SI,0,85,2454.089184,841227.23,9896.790941,0,0,0,10738.01817,912.7315446,912.7315446,1541.357639,0
05-013-06336,06336,SI,0,10,478.543856,77774.6,7777.46,0,0,0,7855.2346,78.552346,78.552346,399.99151,0
05-013-06337,06337,SI,0,157,2496.877108,459489.04,2926.681783,0,0,0,3386.170823,531.6288193,531.6288193,1965.248289,0
05-013-06340,06340,SI,5,49,583.02976,156763.31,3199.251224,3224.845234,25.79876187,1,3352.815283,160.9351336,186.7338955,396.2958645,0
05-013-06341,06341,SI,0,43,478.543856,126817.26,2949.238605,0,0,0,3076.055865,132.2704022,132.2704022,346.2734538,0
05-013-06342,06342,SI,0,89,478.543856,148981,1673.94382,0,0,0,1822.92482,162.240309,162.240309,316.303547,0
05-013-06343,06343,PA,2,89,479.098368,160917.52,1808.062022,1822.526519,14.58021215,1,1967.17148,173.1110903,187.6913024,291.4070656,0
05-013-06346,06346,SI,0,35,4094.98488,101369.25,2896.264286,0,0,0,2997.633536,104.9171738,104.9171738,3990.067706,0
05-013-06348,06348,SI,0,477,525.843696,894369.62,1874.988721,0,0,0,2769.358341,1320.983929,1320.983929,-795.1402327,1
05-013-06351,06351,SI,0,12,525.843696,36446.17,3037.180833,0,0,0,3073.627003,36.88352404,36.88352404,488.960172,0
05-013-06352,06352,SI,0,18,613.845958,140752.69,7819.593889,0,0,0,7960.346579,143.2862384,143.2862384,470.5597196,0
05-013-06353,06353,SI,0,22,611.820398,169775.14,7717.051818,0,0,0,7886.826958,173.5101931,173.5101931,438.3102049,0
05-013-06354,06354,SI,4,704,373.690851,4273560.45,6070.398366,6118.961553,48.95169243,1,10337.88842,7267.535558,7316.48725,-6942.796399,1
05-013-06355,06355,SI,0,553,1870.969162,3057318.94,5528.605678,0,0,0,8585.924618,4748.016314,4748.016314,-2877.047152,1
