Well_API,Well_ID,Well_Status,Oil_Sales,Gas_Sales,Stripper_flg,Well_Tot_Mill,Well_Asd_Val,H1000,H5280,Well_PTax,Sum_Home_Asd_Val,Sum_Home_PTax,Avg_PTax_Home,Avg_H1000_NoWell,H1000_Effect,Well_in_View,Avg_H5280_NoWell,H5280_Effect,Ptax_Effect,Net_Difference,PA_Candidate
05-013-06017,6017,SI,,6,Y,101.278,33641,1,31,3407.093198,33213780,214206.01,6909.87129,6965.150261,55.72120209,1,6916.781162,207.5034348,263.2246369,3143.868561,0
05-013-06020,6020,SI,,3,N,101.278,27276,2,13,2762.458728,11473670,79219.62,6093.816923,6142.567458,98.28107934,1,6099.91074,73.19892888,171.4800082,2590.97872,0
05-013-06021,6021,PA,,,N,101.278,19932,0,444,2018.673096,269400410,2093169.22,4714.34509,0,0,0,4719.059435,2095.262389,2095.262389,-76.58929322,1
05-013-06023,6023,SI,,3,N,88.302,3977,0,95,351.177054,150735496,934894.76,9840.997474,0,0,0,9850.838471,935.8296548,935.8296548,-584.6526008,1
05-013-06026,6026,SI,,119,N,98.673,34093,0,65,3364.058589,109184234,692425.23,10652.69585,0,0,0,10663.34854,693.1176552,693.1176552,2670.940934,0
05-013-06029,6029,SI,86,1398,N,93.963,23767,1,352,2233.218621,214266900,1629282.3,4628.642898,4665.672041,37.32537633,1,4633.271541,1626.278311,1663.603687,569.6149339,0
05-013-06033,6033,SI,161,94,N,93.963,27278,2,47,2563.122714,46158930,294831.68,6273.014468,6323.198584,101.1711773,1,6279.287483,288.8472242,390.0184015,2173.104312,0
05-013-06036,6036,PA,,,Y,93.963,223,4,48,20.953749,47996940,316368.01,6591.000208,6643.72821,212.5993027,1,6597.591209,310.0867868,522.6860895,-501.7323405,1
05-013-06047,6047,SI,,,N,101.278,21947,2,17,2222.748266,15765059,106559.23,6268.19,6318.33552,101.0933683,1,6274.45819,100.391331,201.4846994,2021.263567,0
05-013-06048,6048,TA,70,39,N,97.673,26539,0,40,2592.143747,67573119,422829.73,10570.74325,0,0,0,10581.31399,423.2525597,423.2525597,2168.891187,0
05-013-06049,6049,SI,115,6,N,76.716,26531,5,244,2035.352196,198337660,1307526.42,5358.714836,5401.584555,216.0633822,1,5364.073551,1303.469873,1519.533255,515.8189409,0
05-013-06054,6054,TA,15,346,N,101.278,22475,0,55,2276.22305,46403903,314712.72,5722.049455,0,0,0,5727.771504,315.0274327,315.0274327,1961.195617,0
05-013-06057,6057,SI,23,1217,N,93.963,23281,2,50,2187.552603,59270962,367969.77,7359.3954,7418.270563,118.692329,1,7366.754795,360.970985,479.663314,1707.889289,0
05-013-06058,6058,SI,304,485,N,101.278,23529,1,593,2382.970062,352985856,2855020.18,4814.53656,4853.052852,38.82442282,1,4819.351096,2853.055849,2891.880272,-508.9102099,1
05-013-06061,6061,SI,30,11,N,96.963,29051,22,1071,2816.872113,717486705,4391311.55,4100.197526,4132.999106,727.4078426,1,4104.297723,4391.598564,5119.006406,-2302.134293,1
05-013-06062,6062,PA,,,N,93.963,1328,0,90,124.782864,135019486,847056.29,9411.736556,0,0,0,9421.148292,847.9033463,847.9033463,-723.1204823,1
05-013-06063,6063,PR,234,1490,Y,93.963,29345,0,1554,2757.344235,781194705,7275006.76,4681.471532,0,0,0,4686.153003,7282.281767,7282.281767,-4524.937532,1
05-013-06068,6068,PA,,,N,93.963,23736,0,122,2230.305768,125868399,779753.28,6391.420328,0,0,0,6397.811748,780.5330333,780.5330333,1449.772735,0
05-013-06069,6069,SI,,25,N,88.302,26985,3,95,2382.82947,93798730,607582.41,6395.604316,6446.76915,154.7224596,1,6401.99992,601.7879925,756.5104521,1626.319018,0
05-013-06072,6072,SI,,6,Y,88.302,5296,6,40,467.647392,62162780,377345.48,9433.637,9509.106096,456.4370926,1,9443.070637,368.2797548,824.7168475,-357.0694555,1
05-013-06073,6073,PR,,35,N,104.778,32919,3,638,3449.186982,567598860,3890431.29,6097.854687,6146.637524,147.5193006,1,6103.952541,3888.217769,4035.737069,-586.5500873,1
05-013-06076,6076,SI,,6,N,98.673,7360,3,161,726.23328,171596402,1071529,6655.459627,6708.703304,161.0088793,1,6662.115087,1065.938414,1226.947293,-500.7140132,1
05-013-06077,6077,PA,,,N,93.963,8,0,36,0.751704,34937660,217638.11,6045.503056,0,0,0,6051.548559,217.8557481,217.8557481,-217.1040441,1
05-013-06080,6080,SI,,6,N,101.278,28595,0,25,2896.04441,28282050,187312.93,7492.5172,0,0,0,7500.009717,187.5002429,187.5002429,2708.544167,0
05-013-06081,6081,SI,,4,N,93.932,25212,0,2484,2368.213584,1101880349,6913791.36,2783.329855,0,0,0,2786.113185,6920.705151,6920.705151,-4552.491567,1
05-013-06084,6084,SI,,,N,79.216,3977,0,1206,315.042032,661951165,5640995.1,4677.44204,0,0,0,4682.119482,5646.636095,5646.636095,-5331.594063,1
05-013-06085,6085,SI,5,9,N,98.673,7360,0,547,726.23328,357915200,2187335.77,3998.785686,0,0,0,4002.784471,2189.523106,2189.523106,-1463.289826,1
05-013-06086,6086,SI,,4,N,98.673,7360,0,243,726.23328,196386270,1209534.91,4977.509918,0,0,0,4982.487428,1210.744445,1210.744445,-484.5111649,1
05-013-06087,6087,SI,,4,N,93.963,26959,0,125,2533.148517,110911044,696626.8,5573.0144,0,0,0,5578.587414,697.3234268,697.3234268,1835.82509,0
05-013-06088,6088,SI,,10,N,101.278,27067,0,8,2741.291626,5140590,31944.44,3993.055,0,0,0,3997.048055,31.97638444,31.97638444,2709.315242,0
05-013-06090,6090,SI,,5,N,98.673,28595,0,74,2821.554435,137408380,859330.69,11612.57689,0,0,0,11624.18947,860.1900207,860.1900207,1961.364414,0
05-013-06091,6091,PA,,,N,101.784,18510,5,969,1884.02184,697391756,4770120.37,4922.72484,4962.106639,198.4842656,1,4927.647565,4769.962843,4968.447108,-3084.425268,1
05-013-06092,6092,SI,,6,N,101.278,23506,0,8,2380.640668,7117020,49239.95,6154.99375,0,0,0,6161.148744,49.28918995,49.28918995,2331.351478,0
05-013-06094,6094,SI,,15,N,88.302,26580,0,419,2347.06716,375321628,2687871.08,6414.966778,0,0,0,6421.381745,2690.558951,2690.558951,-343.4917911,1
05-013-06095,6095,PA,,,N,101.278,22028,1,54,2230.951784,43791132,295229.94,5467.221111,5510.95888,44.08767104,1,5472.688332,290.0524816,334.1401526,1896.811631,0
05-013-06098,6098,PA,,,Y,101.784,16,3,21,1.628544,21003240,144029.95,6858.569048,6913.4376,165.9225024,1,6865.427617,137.3085523,303.2310547,-301.6025107,1
05-013-06100,6100,SI,149,18,N,93.963,32897,7,86,3091.100811,129646566,810519.58,9424.646279,9500.043449,532.0024332,1,9434.070925,801.8960287,1333.898462,1757.202349,0
05-013-06101,6101,SI,,7,N,101.278,27296,1,6,2764.484288,4485870,30998.16,5166.36,5207.69088,41.66152704,1,5171.52636,25.8576318,67.51915884,2696.965129,0
05-013-06102,6102,PR,,5,N,93.963,25221,0,43,2369.840823,55728444,345173.49,8027.290465,0,0,0,8035.317756,345.5186635,345.5186635,2024.32216,0
05-013-06103,6103,PR,,2,N,101.278,22108,0,19,2239.054024,15624590,99714.69,5248.141579,0,0,0,5253.389721,99.81440469,99.81440469,2139.239619,0
05-013-06104,6104,SI,94,1428,N,93.963,23701,2,60,2227.017063,53308010,347336.36,5788.939333,5835.250848,93.36401357,1,5794.728273,341.8889681,435.2529817,1791.764081,0
05-013-06105,6105,SI,81,1824,N,101.278,24403,0,318,2471.487034,194012687,1360368.75,4277.889151,0,0,0,4282.16704,1361.729119,1361.729119,1109.757915,0
05-013-06107,6107,PR,,673,N,101.278,22255,0,1966,2253.94189,1040521276,8522122.11,4334.751836,0,0,0,4339.086588,8530.644232,8530.644232,-6276.702342,1
05-013-06108,6108,PR,11,536,N,115.187,22363,0,967,2575.926881,555218046,4618322.21,4775.927828,0,0,0,4780.703756,4622.940532,4622.940532,-2047.013651,1
05-013-06109,6109,PA,,,N,101.278,2038,0,15,206.404564,12040109,79442.25,5296.15,0,0,0,5301.44615,79.52169225,79.52169225,126.8828718,0
05-013-06110,6110,SI,5,494,N,101.278,22276,0,48,2256.068728,40593543,276202.33,5754.215208,0,0,0,5759.969424,276.4785323,276.4785323,1979.590196,0
05-013-06111,6111,SI,,,N,101.278,21948,1,48,2222.849544,38856543,262016.29,5458.672708,5502.34209,44.01873672,1,5464.131381,256.8141749,300.8329116,1922.016632,0
05-013-06112,6112,PA,,580,N,98.673,28595,0,60,2821.554435,119223318,748578.95,12476.31583,0,0,0,12488.79215,749.327529,749.327529,2072.226906,0
05-013-06113,6113,PA,,,N,76.716,21121,0,1717,1620.318636,624733555,3791912.62,2208.452312,0,0,0,2210.660764,3795.704533,3795.704533,-2175.385897,1
05-013-06114,6114,PA,,,N,77.716,25242,259,4909,1961.707272,3016114445,18958032.31,3861.892913,3892.788056,8065.856853,1,3865.754806,18973.12459,27038.98144,-25077.27417,1
05-013-06115,6115,SI,,44,N,101.278,17153,1,54,1737.221534,67957874,421832.8,7811.718519,7874.212267,62.99369813,1,7819.530237,414.4351026,477.4288007,1259.792733,0
05-013-06122,6122,SI,30,498,N,101.278,22571,1,21,2285.945738,20568070,140546.86,6692.707619,6746.24928,53.96999424,1,6699.400327,133.9880065,187.9580008,2097.987737,0
05-013-06123,6123,SI,97,1215,N,101.278,24804,1,44,2512.099512,36627613,247261,5619.568182,5664.524727,45.31619782,1,5625.18775,241.8830733,287.1992711,2224.900241,0
05-013-06125,6125,PR,,16,N,101.278,24814,1,15,2513.112292,17458410,120714.97,8047.664667,8112.045984,64.89636787,1,8055.712331,112.7799726,177.6763405,2335.435951,0
05-013-06127,6127,SI,,2,N,118.368,25212,216,2378,2984.294016,1277076095,10543297.39,4433.68267,4469.152132,7722.694884,1,4438.116353,10549.40257,18272.09745,-15287.80344,1
05-013-06128,6128,PR,,31,Y,79.216,41645,4,412,3298.95032,149273435,888600.21,2156.796626,2174.050999,69.56963198,1,2158.953423,887.3298568,956.8994888,2342.050831,0
05-013-06134,6134,PR,,28,N,164.01,25228,85,2741,4137.64428,1567306095,14406517.38,5255.934834,5297.982313,3602.627973,1,5261.190769,14415.66271,18018.29068,-13880.6464,1
05-013-06135,6135,PR,,35,N,111.053,26537,162,2206,2947.013461,1199669485,9562216.37,4334.64024,4369.317362,5662.635301,1,4338.97488,9567.439611,15230.07491,-12283.06145,1
05-013-06137,6137,SI,62,2360,N,101.278,40045,2,28,4055.67751,30555520,197661.74,7059.347857,7115.82264,113.8531622,1,7066.407205,190.7929945,304.6461568,3751.031353,0
05-013-06145,6145,SI,65,7,N,93.963,25212,0,192,2368.995156,160749736,1007917.72,5249.571458,0,0,0,5254.82103,1008.925638,1008.925638,1360.069518,0
05-013-06150,6150,SI,,9,N,76.716,5296,17,2022,406.287936,1051610560,7563776.87,3740.740292,3770.666214,512.8106051,1,3744.481032,7567.596166,8080.406771,-7674.118835,1
05-013-06151,6151,PA,,,Y,93.932,26776,136,3347,2515.123232,1701621843,10587080.23,3163.155133,3188.460374,3469.044887,1,3166.318288,10594.50099,14063.54588,-11548.42265,1
05-013-06152,6152,SI,,,Y,101.784,20341,0,6,2070.388344,3743464,24778.88,4129.813333,0,0,0,4133.943147,24.80365888,24.80365888,2045.584685,0
05-013-06156,6156,SI,,5,N,101.278,23495,2,189,2379.52661,213633963,1453850.52,7692.330794,7753.86944,124.061911,1,7700.023124,1447.604347,1571.666258,807.8603516,0
05-013-06157,6157,SI,,6,N,101.784,26366,0,81,2683.636944,88683820,603901.1,7455.569136,0,0,0,7463.024705,604.5050011,604.5050011,2079.131943,0
05-013-06164,6164,SI,206,1757,N,101.278,56057,0,57,5677.340846,43443133,292338.97,5128.75386,0,0,0,5133.882614,292.631309,292.631309,5384.709537,0
05-013-06165,6165,PA,,,N,149.079,7861,14,2327,1171.910019,1480247916,9213756.18,3959.499862,3991.175861,447.0116965,1,3963.459362,9219.006477,9666.018173,-8494.108154,1
05-013-06166,6166,PA,,,Y,93.932,32517,227,3477,3054.386844,1668378944,10449212.03,3005.237857,3029.27976,5501.172045,1,3008.243095,10456.653,15957.82504,-12903.4382,1
05-013-06169,6169,SI,,24,N,111.053,26538,95,2188,2947.124514,1198992709,9346910.45,4271.896915,4306.07209,3272.614789,1,4276.168812,9351.981192,12624.59598,-9677.471466,1
05-013-06178,6178,SI,,,N,101.278,26338,0,43,2667.459964,35474783,239821.24,5577.23814,0,0,0,5582.815378,240.0610612,240.0610612,2427.398903,0
05-013-06180,6180,SI,,12,N,79.216,26357,6,573,2087.896112,181140188,1080196.41,1885.159529,1900.240805,91.21155864,1,1887.044688,1079.389562,1170.60112,917.2949916,0
05-013-06181,6181,SI,,40,N,118.368,32995,2,112,3905.55216,120767776,738782.86,6596.275536,6649.04574,106.3847318,1,6602.871811,732.918771,839.3035029,3066.248657,0
05-013-06182,6182,SI,,,N,118.368,21945,68,1845,2597.58576,880961960,7315433.46,3965.004585,3996.724622,2174.218194,1,3968.96959,7318.779924,9492.998118,-6895.412358,1
05-013-06183,6183,SI,,9,N,101.784,20341,0,14,2070.388344,8582624,56593.81,4042.415,0,0,0,4046.457415,56.65040381,56.65040381,2013.73794,0
05-013-06187,6187,PA,144,124,N,118.368,26531,4,988,3140.421408,609994970,4535365.16,4590.450567,4627.174171,148.0695735,1,4595.041017,4535.305484,4683.375058,-1542.95365,1
05-013-06189,6189,PR,,28,N,97.673,26601,0,160,2598.199473,223319667,1431045.46,8944.034125,0,0,0,8952.978159,1432.476505,1432.476505,1165.722968,0
05-013-06190,6190,SI,,31,N,101.784,20341,1,26,2070.388344,16056384,107365.73,4129.451154,4162.486763,33.2998941,1,4133.580605,103.3395151,136.6394092,1933.748935,0
05-013-06199,6199,PA,,,N,101.278,17153,8,647,1737.221534,389043966,3096971.46,4786.663771,4824.957081,308.7972532,1,4791.450435,3095.276981,3404.074234,-1666.8527,1
05-013-06204,6204,SI,,20,N,101.278,21028,4,316,2129.673784,234127520,1550867.84,4907.80962,4947.072097,158.3063071,1,4912.71743,1547.50599,1705.812298,423.8614865,0
05-013-06208,6208,SI,,21,N,101.278,20341,0,24,2060.095798,23046119,154504.02,6437.6675,0,0,0,6444.105168,154.658524,154.658524,1905.437274,0
05-013-06210,6210,SI,,28,N,97.673,25219,2,100,2463.215387,160537573,1020561.5,10205.615,10287.25992,164.5961587,1,10215.82062,1011.366241,1175.9624,1287.252987,0
05-013-06224,6224,PA,,,Y,101.278,472,4,44,47.803216,35991083,243400.75,5531.835227,5576.089909,178.4348771,1,5537.367063,238.1067837,416.5416608,-368.7384448,1
05-013-06232,6232,PA,,,Y,115.204,30841,0,1455,3553.006564,599387361,3984862.85,2738.737354,0,0,0,2741.476091,3988.847713,3988.847713,-435.8411489,1
05-013-06236,6236,PA,,,N,79.216,37,3,502,2.930992,276283295,2951253.35,5878.990737,5926.022663,142.2245439,1,5884.869728,2948.319734,3090.544278,-3087.613286,1
05-013-06238,6238,PR,,5,N,101.278,26543,0,7,2688.221954,6650480,41824.87,5974.981429,0,0,0,5980.95641,41.86669487,41.86669487,2646.355259,0
05-013-06240,6240,SI,,201,N,101.278,7360,0,22,745.40608,25041850,169775.14,7717.051818,0,0,0,7724.76887,169.9449151,169.9449151,575.4611649,0
05-013-06243,6243,PR,625,7958,N,93.963,93602,0,2401,8795.124726,1285735665,12056765.53,5021.559988,0,0,0,5026.581547,12068.8223,12068.8223,-3273.69757,1
05-013-06244,6244,SI,,,N,101.278,27276,0,9,2762.458728,8533430,59239.13,6582.125556,0,0,0,6588.707681,59.29836913,59.29836913,2703.160359,0
05-013-06245,6245,PR,111,2069,Y,93.963,35833,0,1928,3366.976179,1133996680,10055908.27,5215.720057,0,0,0,5220.935777,10065.96418,10065.96418,-6698.987999,1
05-013-06246,6246,SI,3,13,N,168.048,3977,161,2018,668.326896,1231043645,11169352.28,5534.862379,5579.141278,7185.933966,1,5540.397241,11174.98124,18360.9152,-17692.5883,1
05-013-06247,6247,PA,,,N,172.904,46,0,267,7.953584,170431600,1708288.93,6398.08588,0,0,0,6404.483966,1709.997219,1709.997219,-1702.043635,1
05-013-06248,6248,SI,,10,N,101.278,5453,0,35,552.268934,38121090,245038.67,7001.104857,0,0,0,7008.105962,245.2837087,245.2837087,306.9852253,0
05-013-06249,6249,SI,,2,N,101.278,27284,0,22,2763.268952,25313610,166118.96,7550.861818,0,0,0,7558.41268,166.285079,166.285079,2596.983873,0
05-013-06250,6250,SI,,332,N,101.278,26338,0,15,2667.459964,15105720,105138.06,7009.204,0,0,0,7016.213204,105.2431981,105.2431981,2562.216766,0
05-013-06252,6252,PA,,,N,102.992,89249,264,896,9191.933008,484512785,4695362.66,5240.360112,5282.282992,11156.18168,1,5245.600472,4694.812422,15850.9941,-6659.061094,1
05-013-06253,6253,SI,27,21,N,79.216,29856,0,45,2365.072896,25369840,131907.64,2931.280889,0,0,0,2934.21217,132.0395476,132.0395476,2233.033348,0
05-013-06254,6254,PA,,,N,175.404,5149,3,702,903.155196,355586775,2356671.72,3357.082222,3383.93888,81.21453312,1,3360.439304,2355.667952,2436.882486,-1533.72729,1
05-013-06256,6256,SI,,,N,79.216,26338,0,824,2086.391008,306088467,1876586.08,2277.410291,0,0,0,2279.687702,1878.462666,1878.462666,207.9283419,0
05-013-06259,6259,SI,,3,N,92.963,3977,3,864,369.713851,595703898,4769924.81,5520.746308,5564.912278,133.5578947,1,5526.267054,4769.168468,4902.726362,-4533.012511,1
05-013-06260,6260,PA,,,Y,96.432,34958,0,29,3371.069856,15880240,81658.86,2815.822759,0,0,0,2818.638581,81.74051886,81.74051886,3289.329337,0
05-013-06261,6261,PA,,,N,91.454,77467,0,62,7084.667018,60725519,361594.42,5832.168065,0,0,0,5838.000233,361.9560144,361.9560144,6722.711004,0
05-013-06262,6262,PA,,,N,79.216,34093,0,181,2700.711088,100264812,614930.11,3397.403923,0,0,0,3400.801327,615.5450401,615.5450401,2085.166048,0
05-013-06263,6263,SI,,8,N,91.454,6179,0,94,565.094266,67990309,413489.88,4398.828511,0,0,0,4403.227339,413.9033699,413.9033699,151.1908961,0
05-013-06270,6270,PA,,,N,79.216,74,0,26,5.861984,28480230,168856.12,6494.466154,0,0,0,6500.96062,169.0249761,169.0249761,-163.1629921,1
05-013-06271,6271,PA,,,N,104.518,3,2,625,0.313554,357574613,2196127.63,3513.804208,3541.914642,56.67063427,1,3517.318012,2194.80644,2251.477074,-2251.16352,1
05-013-06273,6273,PA,,,N,76.716,3977,0,1702,305.099532,935054215,7297128.96,4287.384818,0,0,0,4291.672203,7304.426089,7304.426089,-6999.326557,1
05-013-06274,6274,SI,,5,N,76.716,3979,0,1653,305.252964,843784365,5783204.77,3498.611476,0,0,0,3502.110088,5788.987975,5788.987975,-5483.735011,1
05-013-06275,6275,SI,,5,N,76.716,32029,8,2277,2457.136764,1135247459,7402217.37,3250.864018,3276.870931,209.7197396,1,3254.114882,7406.365472,7616.085212,-5158.948448,1
05-013-06277,6277,SI,,6,N,87.302,25255,0,190,2204.81201,136572610,837951.93,4410.273316,0,0,0,4414.683589,838.7898819,838.7898819,1366.022128,0
05-013-06278,6278,SI,,2,N,96.432,25212,0,1017,2431.243584,556178452,3442816.3,3385.266765,0,0,0,3388.652032,3446.259116,3446.259116,-1015.015532,1
05-013-06279,6279,PA,,,N,79.216,10,0,336,0.79216,129928205,769219.84,2289.344762,0,0,0,2291.634107,769.9890598,769.9890598,-769.1968998,1
05-013-06280,6280,PA,,,N,79.216,32,3,1047,2.534912,379250545,2291145.05,2188.295177,2205.801538,52.93923691,1,2190.483472,2291.245712,2344.184948,-2341.650036,1
05-013-06281,6281,PA,,,N,79.216,11,6,1218,0.871376,405776703,2452226.29,2013.322077,2029.428654,97.41257538,1,2015.335399,2452.663181,2550.075756,-2549.20438,1
05-013-06282,6282,SI,,3,N,96.963,25212,0,8,2444.631156,6343420,36647.78,4580.9725,0,0,0,4585.553473,36.68442778,36.68442778,2407.946728,0
05-013-06284,6284,PA,,,N,168.048,4040,158,1873,678.91392,1191178518,11077793.92,5914.465521,5961.781245,7535.691493,1,5920.379986,11082.95133,18618.64283,-17939.72891,1
05-013-06285,6285,SI,,13,N,96.432,31606,212,1024,3047.829792,626604263,3885698.35,3794.627295,3824.984313,6487.173395,1,3798.421922,3885.785626,10372.95902,-7325.12923,1
05-013-06286,6286,SI,,13,N,91.454,25354,0,11,2318.724716,12040859,71731.69,6521.062727,0,0,0,6527.58379,71.80342169,71.80342169,2246.921294,0
05-013-06290,6290,SI,,41,N,76.716,27298,93,2235,2094.193368,905351102,5505616.1,2463.362908,2483.069812,1847.40394,1,2465.826271,5508.65589,7356.05983,-5261.866462,1
05-013-06291,6291,SI,,13,N,76.716,5457,83,2272,418.639212,882318612,5375614.11,2366.027337,2384.955556,1583.610489,1,2368.393364,5378.621331,6962.23182,-6543.592608,1
05-013-06292,6292,PA,,,N,87.302,21319,0,1113,1861.191338,643979263,3970023.41,3566.957242,0,0,0,3570.524199,3973.993433,3973.993433,-2112.802095,1
05-013-06293,6293,SI,,2,N,76.716,5457,0,1599,418.639212,607823515,3683803.11,2303.816829,0,0,0,2306.120646,3687.486913,3687.486913,-3268.847701,1
05-013-06294,6294,SI,,3,N,87.302,25212,1,8,2201.058024,6178910,36394.51,4549.31375,4585.70826,36.68566608,1,4553.863064,31.87704145,68.56270753,2132.495316,0
05-013-06295,6295,PA,,,N,92.963,21844,1,920,2030.683772,636805314,6404493.32,6961.405783,7017.097029,56.13677623,1,6968.367188,6403.929446,6460.066222,-4429.38245,1
05-013-06302,6302,PA,,,N,93.963,819,0,80,76.955697,107083954,669928.16,8374.102,0,0,0,8382.476102,670.5980882,670.5980882,-593.6423912,1
05-013-06303,6303,SI,,207,N,93.963,3977,0,77,373.690851,115660854,725651.84,9424.04987,0,0,0,9433.47392,726.3774918,726.3774918,-352.6866408,1
05-013-06305,6305,SI,,243,N,98.673,3982,2,44,392.915886,85569852,545682.6,12401.87727,12501.09229,200.0174767,1,12414.27915,533.8140035,733.8314801,-340.9155941,1
05-013-06306,6306,SI,,38,N,98.673,21477,0,53,2119.200021,89109280,565940.53,10678.12321,0,0,0,10688.80133,566.5064705,566.5064705,1552.69355,0
05-013-06320,6320,SI,2,5,N,88.302,3977,0,97,351.177054,145370586,901914.79,9298.090619,0,0,0,9307.388709,902.8167048,902.8167048,-551.6396508,1
05-013-06321,6321,SI,2,5,N,88.302,3977,2,100,351.177054,159637526,992088.5,9920.885,10000.25208,160.0040333,1,9930.805885,983.1497826,1143.153816,-791.9767619,1
05-013-06322,6322,PA,35,,N,88.302,3977,2,90,351.177054,144842266,900072.48,10000.80533,10080.81178,161.2929884,1,10010.80614,890.9617463,1052.254735,-701.0776808,1
05-013-06335,6335,SI,28,2,N,88.302,27792,0,85,2454.089184,135512740,841227.23,9896.790941,0,0,0,9906.687732,842.0684572,842.0684572,1612.020727,0
05-013-06336,6336,SI,,2,Y,79.216,6041,0,10,478.543856,13077180,77774.6,7777.46,0,0,0,7785.23746,77.8523746,77.8523746,400.6914814,0
05-013-06337,6337,SI,181,,N,91.454,27302,0,157,2496.877108,76307709,459489.04,2926.681783,0,0,0,2929.608465,459.948529,459.948529,2036.928579,0
05-013-06340,6340,SI,,,N,79.216,7360,5,49,583.02976,29168960,156763.31,3199.251224,3224.845234,128.9938094,1,3202.450476,153.7176228,282.7114322,300.3183278,0
05-013-06341,6341,SI,18,23,N,79.216,6041,0,43,478.543856,24475140,126817.26,2949.238605,0,0,0,2952.187843,126.9440773,126.9440773,351.5997787,0
05-013-06342,6342,SI,35,5,N,79.216,6041,0,89,478.543856,28318420,148981,1673.94382,0,0,0,1675.617764,149.129981,149.129981,329.413875,0
05-013-06343,6343,PA,42,,N,79.216,6048,2,89,479.098368,30366930,160917.52,1808.062022,1822.526519,29.1604243,1,1809.870084,159.2685674,188.4289917,290.6693763,0
05-013-06346,6346,SI,,2,N,96.432,42465,0,35,4094.98488,19845710,101369.25,2896.264286,0,0,0,2899.16055,101.4706193,101.4706193,3993.514261,0
05-013-06348,6348,SI,,2,N,96.432,5453,0,477,525.843696,150412888,894369.62,1874.988721,0,0,0,1876.86371,895.2639896,895.2639896,-369.4202936,1
05-013-06351,6351,SI,,1,N,96.432,5453,0,12,525.843696,7051690,36446.17,3037.180833,0,0,0,3040.218014,36.48261617,36.48261617,489.3610798,0
05-013-06352,6352,SI,,2,N,101.278,6061,0,18,613.845958,20620520,140752.69,7819.593889,0,0,0,7827.413483,140.8934427,140.8934427,472.9525153,0
05-013-06353,6353,SI,,4,N,101.278,6041,0,22,611.820398,25041850,169775.14,7717.051818,0,0,0,7724.76887,169.9449151,169.9449151,441.8754829,0
05-013-06354,6354,SI,,2,N,93.963,3977,4,704,373.690851,491736990,4273560.45,6070.398366,6118.961553,195.8067697,1,6076.468765,4271.757542,4467.564311,-4093.87346,1
