API_Label,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,Sec_Twn_Rng,lat1,long1,Assessor_acct,stripper_flg,mill_cd,tot_mill,asd_val,Tax_Est
05-013-06017,1/19/1978,5065,SI,6/1/2022,2,1N,69W,2-1N-69W,40.08542,-105.08628,P0220790    ,Y,4794,101.278,33641,3407.093198
05-013-06020,7/16/1978,4592,SI,4/1/2022,36,2N,69W,36-2N-69W,40.097,-105.05652,P0214202    ,N,2794,101.278,27276,2762.458728
05-013-06021,11/6/1978,4972,PA,4/14/2016,1,1N,69W,1-1N-69W,40.075136,-105.067569,P0223472    ,N,4794,101.278,19932,2018.673096
05-013-06023,12/28/1978,5042,SI,5/1/2022,16,1N,69W,16-1N-69W,40.05356,-105.12388,P0218818    ,N,4257,88.302,3977,351.177054
05-013-06026,5/24/1979,5149,SI,8/1/2022,17,1N,69W,17-1N-69W,40.05401,-105.14308,P0218819    ,N,4231,98.673,34093,3364.058589
05-013-06029,12/18/1979,4981,SI,6/1/2022,11,1N,69W,11-1N-69W,40.070356,-105.078055,P0216387    ,N,4531,93.963,23767,2233.218621
05-013-06033,1/23/1980,5045,SI,8/1/2022,2,1N,69W,2-1N-69W,40.076813,-105.088252,P0220789    ,N,4531,93.963,27278,2563.122714
05-013-06036,6/24/1980,4980,PA,1/10/2022,2,1N,69W,2-1N-69W,40.07883,-105.0785,P0223850    ,Y,4531,93.963,223,20.953749
05-013-06047,1/16/1981,5022,SI,7/1/2021,25,2N,69W,25-2N-69W,40.105141,-105.059082,P0220847    ,N,2794,101.278,21947,2222.748266
05-013-06048,12/29/1981,5015,TA,11/1/2022,20,1N,69W,20-1N-69W,40.03831,-105.14341,P0220792    ,N,1455,97.673,26539,2592.143747
05-013-06049,1/10/1981,5032,SI,4/1/2022,15,1N,69W,15-1N-69W,40.0483,-105.10045,P0260808    ,N,4214,76.716,26531,2035.352196
05-013-06054,5/10/1982,5023,TA,11/1/2022,25,2N,69W,25-2N-69W,40.105434,-105.068267,P0225564    ,N,2794,101.278,22475,2276.22305
05-013-06057,4/28/1981,5079,SI,6/1/2022,10,1N,69W,10-1N-69W,40.070007,-105.098527,P0220849    ,N,4531,93.963,23281,2187.552603
05-013-06058,5/14/1981,4998,SI,6/1/2022,11,1N,69W,11-1N-69W,40.062945,-105.077721,P0220852    ,N,4794,101.278,23529,2382.970062
05-013-06061,5/30/1981,5243,SI,10/1/2022,18,1N,69W,18-1N-69W,40.056464,-105.165919,P0265040    ,N,4253,96.963,29051,2816.872113
05-013-06062,6/15/1981,5148,PA,6/4/2019,9,1N,69W,9-1N-69W,40.06738,-105.12405,P0220797    ,N,4531,93.963,1328,124.782864
05-013-06063,5/16/1981,5110,PR,8/1/2020,25,1N,69W,25-1N-69W,40.02663,-105.05897,P0225828    ,Y,4530,93.963,29345,2757.344235
05-013-06068,6/28/1981,5017,PA,9/5/2017,10,1N,69W,10-1N-69W,40.05891,-105.10569,P0220788    ,N,4531,93.963,23736,2230.305768
05-013-06069,7/9/1981,5080,SI,10/1/2022,22,1N,69W,22-1N-69W,40.0385,-105.11,P0225840    ,N,4257,88.302,26985,2382.82947
05-013-06072,11/21/1981,5046,SI,5/1/2022,16,1N,69W,16-1N-69W,40.04566,-105.12408,P0230900    ,Y,4257,88.302,5296,467.647392
05-013-06073,7/29/1981,5224,PR,11/1/2022,6,1N,69W,6-1N-69W,40.08523,-105.16672,P0225839    ,N,4249,104.778,32919,3449.186982
05-013-06076,8/20/1981,5145,SI,3/1/2022,17,1N,69W,17-1N-69W,40.05578,-105.14716,P0225849    ,N,4231,98.673,7360,726.23328
05-013-06077,8/7/1981,5075,PA,5/14/2021,3,1N,69W,3-1N-69W,40.07542,-105.09532,P0223775    ,N,4531,93.963,8,0.751704
05-013-06080,,5043,SI,4/1/2022,35,2N,69W,35-2N-69W,40.08915,-105.077,P0257878    ,N,2794,101.278,28595,2896.04441
05-013-06081,9/15/1981,5195,SI,10/1/2022,35,1N,69W,35-1N-69W,40.00587,-105.08146,P0230897    ,N,110,93.932,25212,2368.213584
05-013-06084,11/11/1981,5170,SI,11/1/2020,36,1N,69W,36-1N-69W,40.01299,-105.0721,P0230902    ,N,4208,79.216,3977,315.042032
05-013-06085,1/28/1982,5250,SI,10/1/2022,18,1N,69W,18-1N-69W,40.05595,-105.15737,P0311915    ,N,4231,98.673,7360,726.23328
05-013-06086,1/30/1982,5117,SI,3/1/2022,18,1N,69W,18-1N-69W,40.05334,-105.15264,P0225842    ,N,4231,98.673,7360,726.23328
05-013-06087,11/29/1981,5006,SI,4/1/2022,10,1N,69W,10-1N-69W,40.06128,-105.09568,P0230898    ,N,4531,93.963,26959,2533.148517
05-013-06088,10/30/1981,5088,SI,4/1/2022,3,1N,69W,3-1N-69W,40.08195,-105.1053,P0311916    ,N,4794,101.278,27067,2741.291626
05-013-06090,11/12/1981,5052,SI,11/1/2022,17,1N,69W,17-1N-69W,40.053268,-105.133581,P0225837    ,N,4232,98.673,28595,2821.554435
05-013-06091,,5122,PA,10/5/2015,36,2N,70W,36-2N-70W,40.089145,-105.171357,P0230901    ,N,3273,101.784,18510,1884.02184
05-013-06092,,5142,SI,4/1/2022,33,2N,69W,33-2N-69W,40.08928,-105.11464,P0225846    ,N,2794,101.278,23506,2380.640668
05-013-06094,12/2/1981,5139,SI,4/1/2022,27,1N,69W,27-1N-69W,40.02749,-105.11,P0230903    ,N,4254,88.302,26580,2347.06716
05-013-06095,11/5/1981,5023,PA,4/6/2022,25,2N,69W,25-2N-69W,40.113032,-105.068348,P0220853    ,N,2794,101.278,22028,2230.951784
05-013-06098,,5200,PA,11/17/2021,12,3N,69W,12-3N-69W,40.2373,-105.05869,P0247043    ,Y,2792,101.784,16,1.628544
05-013-06100,12/11/1981,5094,SI,10/1/2022,9,1N,69W,9-1N-69W,40.05913,-105.12452,P0225838    ,N,4531,93.963,32897,3091.100811
05-013-06101,,5106,SI,4/1/2022,34,2N,69W,34-2N-69W,40.089658,-105.105191,P0225845    ,N,2794,101.278,27296,2764.484288
05-013-06102,2/11/1982,5032,PR,11/1/2022,4,1N,69W,4-1N-69W,40.07479,-105.11527,P0225843    ,N,4531,93.963,25221,2369.840823
05-013-06103,1/23/1982,5075,PR,11/1/2022,3,1N,69W,3-1N-69W,40.084737,-105.097664,P0225571    ,N,4794,101.278,22108,2239.054024
05-013-06104,12/19/1982,4996,SI,6/1/2022,11,1N,69W,11-1N-69W,40.069674,-105.086651,P0234888    ,N,4531,93.963,23701,2227.017063
05-013-06105,6/29/1982,5004,SI,5/1/2022,11,1N,69W,11-1N-69W,40.060085,-105.084502,P0225561    ,N,4794,101.278,24403,2471.487034
05-013-06107,2/16/1982,5090,PR,5/1/2020,13,1N,69W,13-1N-69W,40.047353,-105.070421,P0225568    ,N,4794,101.278,22255,2253.94189
05-013-06108,3/11/1982,5014,PR,5/1/2020,13,1N,69W,13-1N-69W,40.057023,-105.070022,P0225569    ,N,1414,115.187,22363,2575.926881
05-013-06109,1/1/1982,5013,PA,7/20/2020,24,2N,69W,24-2N-69W,40.119949,-105.059002,P0225567    ,N,2794,101.278,2038,206.404564
05-013-06110,4/22/1982,5065,SI,8/1/2022,26,2N,69W,26-2N-69W,40.10602,-105.07795,P0225563    ,N,2794,101.278,22276,2256.068728
05-013-06111,5/29/1982,5054,SI,11/1/2021,26,2N,69W,26-2N-69W,40.11486,-105.077712,P0225560    ,N,2794,101.278,21948,2222.849544
05-013-06112,3/2/1983,5060,PA,4/20/2022,17,1N,69W,17-1N-69W,40.05149,-105.13925,P0234887    ,N,4232,98.673,28595,2821.554435
05-013-06113,2/14/1981,5160,PA,9/2/2014,2,1S,69W,2-1S-69W,39.995558,-105.074087,P0230904    ,N,4201,76.716,21121,1620.318636
05-013-06115,1/13/1982,5097,SI,10/1/2022,10,1N,69W,10-1N-69W,40.068284,-105.105538,P0225844    ,N,4252,77.716,25242,1961.707272
05-013-06116,2/9/1982,5007,PA,11/10/2014,24,2N,69W,24-2N-69W,40.126015,-105.05865,P0225562    ,N,2794,101.278,17153,1737.221534
05-013-06122,2/12/1982,5017,SI,8/1/2022,36,2N,69W,36-2N-69W,40.10016,-105.06745,P0225565    ,N,2794,101.278,22571,2285.945738
05-013-06123,6/15/1982,5051,SI,8/1/2022,35,2N,69W,35-2N-69W,40.101241,-105.078931,P0225570    ,N,2794,101.278,24804,2512.099512
05-013-06125,,5124,PR,11/1/2022,33,2N,69W,33-2N-69W,40.09535,-105.11434,P0265034    ,N,2794,101.278,24814,2513.112292
05-013-06127,7/3/1982,5112,SI,4/1/2022,24,1N,69W,24-1N-69W,40.03886,-105.06776,P0230905    ,N,1392,118.368,25212,2984.294016
05-013-06128,,5113,PR,11/1/2022,1,1S,69W,1-1S-69W,39.995662,-105.064551,P0230906    ,Y,4208,79.216,41645,3298.95032
05-013-06134,6/2/1982,5193,PR,11/1/2022,26,1N,69W,26-1N-69W,40.02714,-105.07844,P0235036    ,N,1407,164.01,25228,4137.64428
05-013-06135,7/15/1982,5223,PR,8/1/2022,26,1N,69W,26-1N-69W,40.016544,-105.086209,P0230908    ,N,1400,111.053,26537,2947.013461
05-013-06137,8/25/1984,5044,SI,6/1/2022,2,1N,69W,2-1N-69W,40.08457,-105.07929,P0235008    ,N,4794,101.278,40045,4055.67751
05-013-06145,11/15/1982,5017,SI,4/1/2022,15,1N,69W,15-1N-69W,40.05666,-105.10194,P0230909    ,N,4531,93.963,25212,2368.995156
05-013-06150,10/11/1982,5231,SI,3/1/2022,35,1N,69W,35-1N-69W,40.01295,-105.08146,P0230910    ,N,4201,76.716,5296,406.287936
05-013-06151,12/17/1982,5278,PA,3/24/2017,34,1N,69W,34-1N-69W,40.00566,-105.1005,P0230922    ,Y,110,93.932,26776,2515.123232
05-013-06152,12/11/1982,5005,SI,10/1/2019,13,2N,69W,13-2N-69W,40.13381,-105.05893,P0234878    ,Y,2795,101.784,20341,2070.388344
05-013-06156,,5125,SI,6/1/2022,33,2N,69W,33-2N-69W,40.09855,-105.12575,P0225841    ,N,2794,101.278,23495,2379.52661
05-013-06157,,5066,SI,3/1/2022,28,2N,69W,28-2N-69W,40.10353,-105.11476,P0250085    ,N,2795,101.784,26366,2683.636944
05-013-06164,9/29/1983,5030,SI,6/1/2022,27,2N,69W,27-2N-69W,40.105584,-105.096925,P0232420    ,N,2794,101.278,56057,5677.340846
05-013-06165,6/11/1984,5301,PA,6/10/2016,34,1N,69W,34-1N-69W,40.00924,-105.11009,P0234955    ,N,133,149.079,7861,1171.910019
05-013-06166,6/30/1984,5254,PA,3/20/2017,34,1N,69W,34-1N-69W,40.00568,-105.09568,P0234954    ,Y,110,93.932,32517,3054.386844
05-013-06169,1/7/1984,5216,SI,10/1/2022,27,1N,69W,27-1N-69W,40.018219,-105.09547,P0247040    ,N,1400,111.053,26538,2947.124514
05-013-06176,4/10/1984,5162,SI,4/1/2022,28,1N,69W,28-1N-69W,40.02351,-105.11495,P0234882    ,N,4204,87.302,0,0
05-013-06178,,5052,SI,3/1/2021,35,2N,69W,35-2N-69W,40.1015,-105.08612,P0239772    ,N,2794,101.278,26338,2667.459964
05-013-06180,,5125,SI,10/1/2022,1,1S,69W,1-1S-69W,39.99013,-105.06504,P0247039    ,N,4208,79.216,26357,2087.896112
05-013-06181,7/14/1984,5129,SI,11/1/2022,21,1N,69W,21-1N-69W,40.03521,-105.12858,P0244808    ,N,1392,118.368,32995,3905.55216
05-013-06182,8/11/1984,5080,SI,8/1/2022,24,1N,69W,24-1N-69W,40.04143,-105.05899,P0239776    ,N,1392,118.368,21945,2597.58576
05-013-06183,9/1/1984,5019,SI,7/1/2022,13,2N,69W,13-2N-69W,40.133193,-105.066954,P0234981    ,N,2795,101.784,20341,2070.388344
05-013-06187,10/10/1984,5069,PA,8/12/2022,14,1N,69W,14-1N-69W,40.04952,-105.08155,P0239773    ,N,1395,118.368,26531,3140.421408
05-013-06189,11/27/1984,5197,PR,11/1/2022,30,1N,69W,30-1N-69W,40.02459,-105.15634,P0239775    ,N,4229,97.673,26601,2598.199473
05-013-06190,,5000,SI,8/1/2022,14,2N,69W,14-2N-69W,40.133037,-105.0766,P0250086    ,N,2795,101.784,20341,2070.388344
05-013-06199,3/16/1985,4979,PA,10/7/2015,12,1N,69W,12-1N-69W,40.06902,-105.071474,P0237121    ,N,4794,101.278,17153,1737.221534
05-013-06204,4/22/1985,5006,SI,5/1/2022,14,1N,69W,14-1N-69W,40.055566,-105.08921,P0237116    ,N,4794,101.278,21028,2129.673784
05-013-06208,6/21/1985,5027,SI,8/1/2022,24,2N,69W,24-2N-69W,40.11966,-105.06688,P0237126    ,N,2794,101.278,20341,2060.095798
05-013-06210,8/28/1985,5139,SI,10/1/2022,19,1N,69W,19-1N-69W,40.03099,-105.1613,P0247033    ,N,4229,97.673,25219,2463.215387
05-013-06224,,5063,PA,10/22/2021,26,2N,69W,26-2N-69W,40.105833,-105.0875,P0239769    ,Y,2794,101.278,472,47.803216
05-013-06232,,4945,PA,7/2/2021,14,2N,69W,14-2N-69W,40.142428,-105.089556,P0247049    ,Y,689,115.204,30841,3553.006564
05-013-06236,10/8/1986,5123,PA,7/26/2021,36,1N,69W,36-1N-69W,40.01165,-105.06212,P0247038    ,N,4208,79.216,37,2.930992
05-013-06238,10/21/1986,5127,PR,11/1/2022,4,1N,69W,4-1N-69W,40.08202,-105.11461,P0250087    ,N,4794,101.278,26543,2688.221954
05-013-06240,,4995,SI,8/1/2022,36,2N,69W,36-2N-69W,40.09022,-105.06953,P0247037    ,N,2794,101.278,7360,745.40608
05-013-06243,3/11/1988,5169,PR,7/12/1988,25,1N,69W,25-1N-69W,40.02545,-105.06926,P0250089    ,N,4531,93.963,93602,8795.124726
05-013-06244,9/17/1990,4949,SI,11/17/2022,36,2N,69W,36-2N-69W,40.09201,-105.05883,P0259892    ,N,2794,101.278,27276,2762.458728
05-013-06245,1/13/1991,5226,PR,10/1/2022,26,1N,69W,26-1N-69W,40.01797,-105.07819,P0265066    ,Y,4531,93.963,35833,3366.976179
05-013-06246,6/25/1991,5163,SI,11/1/2022,26,1N,69W,26-1N-69W,40.02483,-105.0874,P0259895    ,N,1404,168.048,3977,668.326896
05-013-06247,4/16/1991,5095,PA,7/26/2021,36,1N,69W,36-1N-69W,40.00433,-105.05979,P0259893    ,N,1420,172.904,46,7.953584
05-013-06248,4/26/1991,5099,SI,3/1/2022,2,1N,69W,2-1N-69W,40.083295,-105.089654,P0259894    ,N,4794,101.278,5453,552.268934
05-013-06249,,5052,SI,11/1/2022,35,2N,69W,35-2N-69W,40.09018,-105.089,P0259900    ,N,2794,101.278,27284,2763.268952
05-013-06250,6/15/1991,4961,SI,10/1/2022,36,2N,69W,36-2N-69W,40.09291,-105.06253,P0259898    ,N,2794,101.278,26338,2667.459964
05-013-06252,7/22/1991,5118,PA,10/10/2013,25,1N,69W,25-1N-69W,40.01933,-105.06126,P0259899    ,N,,102.992,89249,9191.933008
05-013-06253,,5147,SI,8/1/2022,1,1S,69W,1-1S-69W,39.98992,-105.0573,P0260807    ,N,4208,79.216,29856,2365.072896
05-013-06254,10/17/1991,5134,PA,2/15/2019,36,1N,69W,36-1N-69W,40.00348,-105.06957,P0259897    ,N,1421,175.404,5149,903.155196
05-013-06256,,5136,SI,10/1/2021,12,1S,69W,12-1S-69W,39.98396,-105.06759,P0259896    ,N,4208,79.216,26338,2086.391008
05-013-06259,2/25/1992,5180,SI,5/1/2022,27,1N,69W,27-1N-69W,40.02384,-105.10526,P0265032    ,N,4199,92.963,3977,369.713851
05-013-06260,,5169,PA,7/12/2013,12,1S,69W,12-1S-69W,39.98215,-105.05872,P0265021    ,Y,112,96.432,34958,3371.069856
05-013-06261,,5262,PA,8/1/2014,13,1S,69W,13-1S-69W,39.96788,-105.06543,P0265027    ,N,4290,91.454,77467,7084.667018
05-013-06262,6/13/1992,5273,PA,8/4/2021,14,1S,69W,14-1S-69W,39.96688,-105.07395,P0265037    ,N,4208,79.216,34093,2700.711088
05-013-06263,7/1/1992,5268,SI,10/1/2022,14,1S,69W,14-1S-69W,39.959898,-105.077273,P0265036    ,N,4290,91.454,6179,565.094266
05-013-06270,9/11/1992,5198,PA,8/4/2021,12,1S,69W,12-1S-69W,39.97593,-105.05892,P0265028    ,N,4208,79.216,74,5.861984
05-013-06271,7/22/1992,5233,PA,9/26/2018,15,1S,69W,15-1S-69W,39.96019,-105.09467,P0265025    ,N,111,104.518,3,0.313554
05-013-06273,3/16/2004,5195,PA,2/18/2021,35,1N,69W,35-1N-69W,40.01304,-105.07687,P0265030    ,N,4201,76.716,3977,305.099532
05-013-06274,9/2/1992,5173,SI,3/1/2022,35,1N,69W,35-1N-69W,40.00943,-105.07685,P0265024    ,N,4201,76.716,3979,305.252964
05-013-06275,7/12/2005,5204,SI,3/1/2022,35,1N,69W,35-1N-69W,40.00938,-105.08158,P0265031    ,N,4201,76.716,32029,2457.136764
05-013-06277,10/5/1992,5246,SI,5/1/2022,22,1S,69W,22-1S-69W,39.95454,-105.09269,P0265039    ,N,4204,87.302,25255,2204.81201
05-013-06278,10/8/1992,5181,SI,5/1/2022,14,1S,69W,14-1S-69W,39.96826,-105.0823,P0270063    ,N,112,96.432,25212,2431.243584
05-013-06279,11/9/1992,5117,PA,5/4/2021,1,1S,69W,1-1S-69W,39.99882,-105.06472,P0265011    ,N,4208,79.216,10,0.79216
05-013-06280,11/2/1992,5144,PA,7/9/2021,1,1S,69W,1-1S-69W,39.99878,-105.07008,P0265012    ,N,4208,79.216,32,2.534912
05-013-06281,6/21/2005,5148,PA,5/7/2021,1,1S,69W,1-1S-69W,39.99555,-105.07012,P0265013    ,N,4208,79.216,11,0.871376
05-013-06282,11/7/1992,5247,SI,5/1/2022,22,1S,69W,22-1S-69W,39.94899,-105.09666,P0270054    ,N,4253,96.963,25212,2444.631156
05-013-06284,10/17/1992,5123,PA,7/7/2021,23,1N,69W,23-1N-69W,40.03085,-105.09054,P0265014    ,N,1404,168.048,4040,678.91392
05-013-06285,11/27/1992,5222,SI,10/1/2022,15,1S,69W,15-1S-69W,39.96821,-105.09272,P0265033    ,N,112,96.432,31606,3047.829792
05-013-06286,10/28/1992,5288,SI,10/1/2022,23,1S,69W,23-1S-69W,39.95429,-105.07744,P0265023    ,N,4290,91.454,25354,2318.724716
05-013-06290,3/18/1993,5185,SI,4/1/2022,2,1S,69W,2-1S-69W,39.99884,-105.07886,P0265019    ,N,4201,76.716,27298,2094.193368
05-013-06291,5/9/2003,5185,SI,10/1/2022,2,1S,69W,2-1S-69W,39.99568,-105.07792,P0265020    ,N,4201,76.716,5457,418.639212
05-013-06292,,5273,PA,7/1/2021,15,1S,69W,15-1S-69W,39.967147,-105.106777,P0265026    ,N,4204,87.302,21319,1861.191338
05-013-06293,1/31/1993,5148,SI,4/1/2022,2,1S,69W,2-1S-69W,39.99877,-105.07516,P0265018    ,N,4201,76.716,5457,418.639212
05-013-06294,3/27/1993,5281,SI,5/1/2022,22,1S,69W,22-1S-69W,39.95008,-105.10649,P0265038    ,N,4204,87.302,25212,2201.058024
05-013-06295,12/29/1992,5100,PA,11/9/2016,22,1N,69W,22-1N-69W,40.03495,-105.099314,P0270125    ,N,4197,92.963,21844,2030.683772
05-013-06302,4/20/1993,5175,PA,1/9/2014,9,1N,69W,9-1N-69W,40.07104,-105.12409,P0270042    ,N,4531,93.963,819,76.955697
05-013-06303,5/1/1993,5187,SI,4/1/2022,9,1N,69W,9-1N-69W,40.071,-105.12891,P0270041    ,N,4531,93.963,3977,373.690851
05-013-06305,7/31/1993,5319,SI,10/1/2022,8,1N,69W,8-1N-69W,40.071384,-105.143817,P0270091    ,N,4231,98.673,3982,392.915886
05-013-06306,8/7/1993,5336,SI,10/1/2022,8,1N,69W,8-1N-69W,40.071018,-105.148486,P0270092    ,N,4231,98.673,21477,2119.200021
05-013-06320,6/25/1993,5055,SI,3/1/2022,16,1N,69W,16-1N-69W,40.0568,-105.1192,P0272817    ,N,4257,88.302,3977,351.177054
05-013-06321,5/26/1993,5055,SI,3/1/2022,16,1N,69W,16-1N-69W,40.05633,-105.12431,P0272818    ,N,4257,88.302,3977,351.177054
05-013-06322,6/3/1993,5043,PA,12/1/2021,16,1N,69W,16-1N-69W,40.0562,-105.12731,P0272819    ,N,4257,88.302,3977,351.177054
05-013-06335,7/7/1993,5049,SI,3/1/2022,16,1N,69W,16-1N-69W,40.05289,-105.12774,P0272820    ,N,4257,88.302,27792,2454.089184
05-013-06336,5/22/1993,5245,SI,5/1/2022,12,1S,69W,12-1S-69W,39.977253,-105.054632,P0270081    ,Y,4208,79.216,6041,478.543856
05-013-06337,9/25/1995,5242,SI,7/1/2022,12,1S,69W,12-1S-69W,39.97463,-105.06548,P0274221    ,N,4290,91.454,27302,2496.877108
05-013-06340,8/16/1993,5138,SI,10/1/2021,1,1S,69W,1-1S-69W,39.998502,-105.056761,P0270071    ,N,4208,79.216,7360,583.02976
05-013-06341,6/2/1993,5155,SI,8/1/2022,1,1S,69W,1-1S-69W,39.99206,-105.05487,P0270083    ,N,4208,79.216,6041,478.543856
05-013-06342,7/6/2005,5129,SI,5/1/2022,1,1S,69W,1-1S-69W,39.98826,-105.06008,P0272824    ,N,4208,79.216,6041,478.543856
05-013-06343,5/21/1993,5112,PA,8/31/2021,1,1S,69W,1-1S-69W,39.99164,-105.05948,P0270084    ,N,4208,79.216,6048,479.098368
05-013-06346,5/3/1993,5142,SI,6/1/2022,12,1S,69W,12-1S-69W,39.98477,-105.05498,P0270064    ,N,112,96.432,42465,4094.98488
05-013-06348,6/6/1993,5132,SI,6/1/2022,12,1S,69W,12-1S-69W,39.984568,-105.063773,P0270077    ,N,112,96.432,5453,525.843696
05-013-06351,5/26/1993,5184,SI,6/1/2022,12,1S,69W,12-1S-69W,39.981175,-105.055915,P0270076    ,N,112,96.432,5453,525.843696
05-013-06352,5/8/1993,5000,SI,5/1/2022,36,2N,69W,36-2N-69W,40.09248,-105.06731,P0272810    ,N,2794,101.278,6061,613.845958
05-013-06353,5/15/1993,5038,SI,5/1/2022,36,2N,69W,36-2N-69W,40.092284,-105.071481,P0272811    ,N,2794,101.278,6041,611.820398
05-013-06354,5/28/1993,5140,SI,5/1/2022,27,1N,69W,27-1N-69W,40.0272,-105.10552,P0270075    ,N,4530,93.963,3977,373.690851
05-013-06355,6/4/1993,5151,SI,5/1/2022,27,1N,69W,27-1N-69W,40.0237,-105.11042,P0270074    ,N,4204,87.302,21431,1870.969162
05-013-06358,7/27/1993,5092,SI,5/1/2022,21,1N,69W,21-1N-69W,40.04149,-105.1233,P0272822    ,N,4257,88.302,3977,351.177054
